artist_id,artist_name,uri,followers,popularity,genres
6cK3NBO6uP7hh0oyuVELFl,Saweetie,spotify:artist:6cK3NBO6uP7hh0oyuVELFl,1970163,66,"['cali rap', 'trap queen']"
0nugNBwdWaptgIAsEtx1It,Searows,spotify:artist:0nugNBwdWaptgIAsEtx1It,77917,55,[]
2cjQTf2J5yCaNY8qHpW855,AUR,spotify:artist:2cjQTf2J5yCaNY8qHpW855,144820,67,['urdu hip hop']
496w0Fyed8J7IRzn5Ffb6x,juju<3,spotify:artist:496w0Fyed8J7IRzn5Ffb6x,69755,60,[]
0Dd84sfPxs6Aj0PjlCM1P7,Cleffy,spotify:artist:0Dd84sfPxs6Aj0PjlCM1P7,28544,56,[]
7CLojerj7StFcAX03tA8Pc,M Lisa,spotify:artist:7CLojerj7StFcAX03tA8Pc,7014,52,[]
7o1TBmx7Ube5h2Czlam84O,Arcy Drive,spotify:artist:7o1TBmx7Ube5h2Czlam84O,27798,46,[]
6Y6qIKwe32BxNflpxbKsJc,GROOVY,spotify:artist:6Y6qIKwe32BxNflpxbKsJc,12749,53,[]
2bnV4zuMP2tBXzsGbPmkuo,B Jack$,spotify:artist:2bnV4zuMP2tBXzsGbPmkuo,2798,53,['new jersey underground rap']
3BAgmPNIK5IJl7zMK1wvMA,That Mexican OT,spotify:artist:3BAgmPNIK5IJl7zMK1wvMA,459857,68,['texas latin rap']
0k7Xl1pqI3tu8sSEjo5oEg,Paul Wall,spotify:artist:0k7Xl1pqI3tu8sSEjo5oEg,823482,63,"['chopped and screwed', 'crunk', 'dirty south rap', 'houston rap']"
7xsuKSqVVN2JzUIpZV0GeW,DRODi,spotify:artist:7xsuKSqVVN2JzUIpZV0GeW,7108,58,[]
1LlKtmnluANdN9NzI1jsIp,Cisco Swank,spotify:artist:1LlKtmnluANdN9NzI1jsIp,12902,31,[]
0a0L1YLGhMT64hsSh9M9aM,Rahill,spotify:artist:0a0L1YLGhMT64hsSh9M9aM,8256,37,['modern indie pop']
4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,spotify:artist:4OVbrPbhvK46A1uXTU1u5F,88559,60,['jersey club']
16AILHA3N2C3ngRuR2FdfH,Saint Harison,spotify:artist:16AILHA3N2C3ngRuR2FdfH,63034,48,[]
0FDlMMfT3tLEKM0QdEIHYu,Owen Riegling,spotify:artist:0FDlMMfT3tLEKM0QdEIHYu,5222,49,[]
6fn7JM8daBvCxpTkYyqtGY,Essosa,spotify:artist:6fn7JM8daBvCxpTkYyqtGY,29323,46,[]
4rBmgPisz2KuN6czxDpIcu,slimdan,spotify:artist:4rBmgPisz2KuN6czxDpIcu,4395,32,[]
4APrfmUo8KRrjCVuyoKvwY,O.lew,spotify:artist:4APrfmUo8KRrjCVuyoKvwY,23359,44,['v-pop']
7eKkW1zo5uzW8kUntiiBvz,Malcolm Todd,spotify:artist:7eKkW1zo5uzW8kUntiiBvz,153506,56,[]
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,spotify:artist:3DbwFQlvLxRSi2uX8mf81A,360537,73,['trap queen']
5xkFVS6IwwgHEAaRzXc9U3,Tay Keith,spotify:artist:5xkFVS6IwwgHEAaRzXc9U3,44818,59,['memphis hip hop']
3WHWgx8Dh0IqQT1BMDTeE3,Graham Barham,spotify:artist:3WHWgx8Dh0IqQT1BMDTeE3,29922,46,[]
0sLoVTeBT6akDY7ecDxKYe,Nabila Taqiyyah,spotify:artist:0sLoVTeBT6akDY7ecDxKYe,52167,45,[]
21YCHE0ZFflbHVTsyrCpgh,Debbii Dawson,spotify:artist:21YCHE0ZFflbHVTsyrCpgh,21184,40,[]
6XwbawUNwNcZ7OXtvMVyKK,Nectar Woode,spotify:artist:6XwbawUNwNcZ7OXtvMVyKK,1502,38,[]
04PoYcw0Zcevr7MQC0kzUM,bby,spotify:artist:04PoYcw0Zcevr7MQC0kzUM,4244,38,[]
34QizBjxVeMcA5HlZpKxxE,Portraits Of Tracy,spotify:artist:34QizBjxVeMcA5HlZpKxxE,8405,33,[]
1eNO1DUCOtZgCzlwtjtb1t,October London,spotify:artist:1eNO1DUCOtZgCzlwtjtb1t,80878,49,['neo r&b']
3LOm0AZjpwVQebvkyanjDy,ODUMODUBLVCK,spotify:artist:3LOm0AZjpwVQebvkyanjDy,399859,65,"['afro drill', 'afrobeats', 'nigerian pop']"
5l3g6Xp8KQE4prw9hk6rQ8,Andrea Bejar,spotify:artist:5l3g6Xp8KQE4prw9hk6rQ8,14374,32,[]
6xx5onyQzBbqxee5Ogqouv,Josh Makazo,spotify:artist:6xx5onyQzBbqxee5Ogqouv,43411,44,[]
6EYGGkM2JDpX5CjHpGkiME,Karri,spotify:artist:6EYGGkM2JDpX5CjHpGkiME,46507,45,['bedroom r&b']
7GwwoezwdbKvUaNgtg51pX,bludnymph,spotify:artist:7GwwoezwdbKvUaNgtg51pX,43822,53,[]
3uHrAjYOHTFWu04dl0aYdo,nour,spotify:artist:3uHrAjYOHTFWu04dl0aYdo,24174,35,[]
6YSVUxXGsQQD2cWSJhN8re,Nehaal Naseem,spotify:artist:6YSVUxXGsQQD2cWSJhN8re,64661,37,[]
6mskRz8EwbqCXm39vtGStC,MINOVA,spotify:artist:6mskRz8EwbqCXm39vtGStC,20468,39,[]
12bvlSCl69py9uRW9vMJyw,Maya Manuela,spotify:artist:12bvlSCl69py9uRW9vMJyw,6221,34,[]
1WSqNCME0xEyefXll8SWkE,PEMBROKE,spotify:artist:1WSqNCME0xEyefXll8SWkE,158,33,[]
3uZWq09EA6TKOR3wqJGVMx,Chikoruss,spotify:artist:3uZWq09EA6TKOR3wqJGVMx,7964,35,[]
1IMENE2OCzsrXuu62aW1mD,JayO,spotify:artist:1IMENE2OCzsrXuu62aW1mD,45223,54,['afrobeats']
0aMrhUHnOzfiPcMc2PGiaT,Galdive,spotify:artist:0aMrhUHnOzfiPcMc2PGiaT,45782,42,['indonesian indie']
2hEZUJYO26jhMzfw0ZzrCj,Shallow Alcove,spotify:artist:2hEZUJYO26jhMzfw0ZzrCj,15753,36,[]
6grKEGFYz5bqq0IQraQhsQ,Pink Pablo,spotify:artist:6grKEGFYz5bqq0IQraQhsQ,3439,29,[]
1GrQQZ7U31WfQPQbd3MHx9,BKAYE,spotify:artist:1GrQQZ7U31WfQPQbd3MHx9,26000,46,['stutter house']
5iiqhuffUTPEOjAUDj19IW,Love Spells,spotify:artist:5iiqhuffUTPEOjAUDj19IW,7258,37,[]
3Z7dkUrTApDgi6npZfoHVv,Lekan,spotify:artist:3Z7dkUrTApDgi6npZfoHVv,4701,33,[]
2bTnGGWvuVQsMVyg31rmum,Zinadelphia,spotify:artist:2bTnGGWvuVQsMVyg31rmum,24336,38,[]
5Dqzm9gLDtQhy9mUEck1cK,Zino Vinci,spotify:artist:5Dqzm9gLDtQhy9mUEck1cK,3828,33,[]
2yOJnAGg41NV4aech301xj,UCHE YARA,spotify:artist:2yOJnAGg41NV4aech301xj,2168,31,[]
3ozYqVCLohfpXIhalkhM8D,Aditya Rikhari,spotify:artist:3ozYqVCLohfpXIhalkhM8D,261246,61,['desi pop']
1u5SWpU4mZSziEz2hdPSWQ,Winona Fighter,spotify:artist:1u5SWpU4mZSziEz2hdPSWQ,16469,32,[]
7ufjo5jO7vQfG6Zg0QzWEJ,CARR,spotify:artist:7ufjo5jO7vQfG6Zg0QzWEJ,18073,37,[]
2EtiCherSxAKu7mnbU8Poh,Bo Staloch,spotify:artist:2EtiCherSxAKu7mnbU8Poh,2194,31,[]
53EOtWH1wUGCS1NHYiy5OJ,Konyikeh,spotify:artist:53EOtWH1wUGCS1NHYiy5OJ,2882,29,[]
12dcW7121xWHkU7xCBvyUX,harf.,spotify:artist:12dcW7121xWHkU7xCBvyUX,1799,27,[]
6tNKVWwIt2i6K7GoWIsycF,Annie Tracy,spotify:artist:6tNKVWwIt2i6K7GoWIsycF,9128,31,[]
6FLqwgd1Ks0JvEmqpewIpv,Jasmine Jethwa,spotify:artist:6FLqwgd1Ks0JvEmqpewIpv,12217,36,[]
4F6hNOg84kZIkE5LvLYOsr,Hana Eid,spotify:artist:4F6hNOg84kZIkE5LvLYOsr,5181,30,[]
1HvnaxYOnYcLVvnOn2eb5e,26fix,spotify:artist:1HvnaxYOnYcLVvnOn2eb5e,4528,28,[]
6c2qQFq3xfxFJndX6wSe4f,Kingfishr,spotify:artist:6c2qQFq3xfxFJndX6wSe4f,21904,46,['limerick indie']
7sfn5Z6ItzDkOF9cYzxWPZ,jigitz,spotify:artist:7sfn5Z6ItzDkOF9cYzxWPZ,3015,31,[]
2KD9QZ3u2oLgdRKsKVSW4I,SERAPHINE NOIR,spotify:artist:2KD9QZ3u2oLgdRKsKVSW4I,82520,41,[]
5usIAzHxodIcGgsgnYT4E6,REIA,spotify:artist:5usIAzHxodIcGgsgnYT4E6,308,26,[]
59QOcYlBSqJMi5rTHcwplJ,Walter The Producer,spotify:artist:59QOcYlBSqJMi5rTHcwplJ,6993,35,[]
6cpzd2aRLmkE06P4lFFMlj,Spiritual Cramp,spotify:artist:6cpzd2aRLmkE06P4lFFMlj,12818,38,['bay area indie']
0aap0g0NB08EJrS6FMDrdB,Glitter Party,spotify:artist:0aap0g0NB08EJrS6FMDrdB,6228,30,[]
70XiOMiwBAHHspwHrkxlJY,Jordan Hawkins,spotify:artist:70XiOMiwBAHHspwHrkxlJY,8187,31,['indie r&b']
6I3MElirhT5t6Kf7p0hGk9,Duckwrth,spotify:artist:6I3MElirhT5t6Kf7p0hGk9,436944,58,['alternative r&b']
5kVRPeQHKUoQ7ooGlewyXP,audalei,spotify:artist:5kVRPeQHKUoQ7ooGlewyXP,3811,29,[]
47FIkKjgZpNkMg1XcEqVdK,Paulade,spotify:artist:47FIkKjgZpNkMg1XcEqVdK,8631,25,[]
41mwTkqJfMxPMbQmEdN2S2,Dayo Bello,spotify:artist:41mwTkqJfMxPMbQmEdN2S2,8229,33,['british soul']
